benchmark,num_gcds,run,size_bytes,latency_us
osu_alltoall,8,5,16,31.26
osu_alltoall,8,5,32,31.31
osu_alltoall,8,5,64,31.03
osu_alltoall,8,5,128,34.22
osu_alltoall,8,5,256,31.90
osu_alltoall,8,5,512,31.92
osu_alltoall,8,5,1024,32.03
osu_alltoall,8,5,2048,32.55
osu_alltoall,8,5,4096,34.16
osu_alltoall,8,5,8192,34.83
osu_alltoall,8,5,16384,38.19
osu_alltoall,8,5,32768,45.64
osu_alltoall,8,5,65536,45.21
osu_alltoall,8,5,131072,51.36
osu_alltoall,8,5,262144,68.56
osu_alltoall,8,5,524288,101.93
osu_alltoall,8,5,1048576,169.25
osu_alltoall,8,6,1,27.27
osu_alltoall,8,6,2,30.59
osu_alltoall,8,6,4,31.46
osu_alltoall,8,6,8,31.48
osu_alltoall,8,6,16,31.48
osu_alltoall,8,6,32,31.51
osu_alltoall,8,6,64,31.66
osu_alltoall,8,6,128,34.44
osu_alltoall,8,6,256,31.71
osu_alltoall,8,6,512,31.96
osu_alltoall,8,6,1024,32.07
osu_alltoall,8,6,2048,32.83
osu_alltoall,8,6,4096,34.37
osu_alltoall,8,6,8192,35.11
osu_alltoall,8,6,16384,39.30
osu_alltoall,8,6,32768,45.83
osu_alltoall,8,6,65536,44.76
osu_alltoall,8,6,131072,51.37
osu_alltoall,8,6,262144,68.62
osu_alltoall,8,6,524288,101.86
osu_alltoall,8,6,1048576,169.26
