Using OSU collective binaries from: /users/joglekar/eessi/versions/2025.06/software/linux/x86_64/amd/zen3/software/OSU-Micro-Benchmarks/7.5-rompi-2025a/libexec/osu-micro-benchmarks/mpi/collective

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1   cpu_mask=49,57
################################################################
  [run 1/6] warm-up starting

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
64                      4.61
128                     4.72
256                    22.58
512                    44.94
1024                   48.56
2048                   48.37
4096                   94.21
8192                  130.77
16384                 129.41
32768                 132.15
65536                 133.12
131072                135.31
262144                138.82
524288                145.76
1048576               165.18
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.81
8                       4.78
16                      4.71
32                      4.66
64                      4.72
128                     4.82
256                    23.25
512                    45.42
1024                   49.17
2048                   48.48
4096                   94.63
8192                  134.31
16384                 132.84
32768                 135.18
65536                 135.84
131072                138.05
262144                140.62
524288                149.25
1048576               167.06
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.81
8                       4.72
16                      4.60
32                      4.60
64                      4.73
128                     4.73
256                    22.74
512                    45.11
1024                   49.10
2048                   47.87
4096                   92.70
8192                  130.08
16384                 129.47
32768                 131.85
65536                 133.37
131072                135.03
262144                137.84
524288                146.40
1048576               164.92
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.86
8                       4.76
16                      4.69
32                      4.69
64                      4.71
128                     4.81
256                    23.62
512                    45.78
1024                   49.78
2048                   48.86
4096                   93.56
8192                  132.70
16384                 131.87
32768                 133.71
65536                 134.35
131072                136.76
262144                139.54
524288                148.71
1048576               167.21
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.87
8                       4.63
16                      4.54
32                      4.63
64                      4.65
128                     4.63
256                    22.85
512                    45.22
1024                   48.69
2048                   48.68
4096                   94.66
8192                  129.66
16384                 129.81
32768                 132.00
65536                 133.20
131072                134.61
262144                138.03
524288                144.72
1048576               162.90
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.96
8                       4.66
16                      4.57
32                      4.58
64                      4.63
128                     4.70
256                    22.81
512                    44.95
1024                   48.75
2048                   47.96
4096                   92.80
8192                  129.03
16384                 128.93
32768                 132.32
65536                 133.17
131072                134.59
262144                138.04
524288                145.53
1048576               164.41
