================================================================
osu_mbw_mr aggregate (8 ranks, 4 pairs, 3 configs)
================================================================

################################################################
# [osu_mbw_mr] cfg_routed_split
# Pairing: (0,4)(1,5)(2,6)(3,7) all_routed
# ROCR order: 0,1,2,3,4,5,6,7   (rank i ↔ rank i+4)
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.17       10166422.55
2                      20.42       10208414.15
4                      41.73       10432502.62
8                      84.82       10602436.88
16                    170.47       10654089.29
32                    353.61       11050255.57
64                    708.39       11068592.63
128                    98.68         770969.01
256                   195.41         763324.45
512                   387.41         756654.72
1024                  769.09         751067.89
2048                 1515.66         740069.80
4096                 2950.71         720388.38
8192                 5719.86         698225.12
16384               10945.96         668088.29
32768               20502.90         625698.91
65536               36876.59         562692.11
131072              59629.44         454936.56
262144              85131.48         324750.82
524288             109332.03         208534.30
1048576            127182.02         121290.22
2097152            137444.39          65538.59
4194304            141762.45          33798.80
  [run 3/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.22       10215718.26
2                      20.15       10077044.12
4                      41.19       10297586.16
8                      81.95       10243248.13
16                    167.32       10457698.97
32                    336.33       10510236.04
64                    661.16       10330628.54
128                    97.65         762868.54
256                   193.96         757653.60
512                   383.47         748971.32
1024                  758.90         741118.13
2048                 1489.58         727331.91
4096                 2911.00         710692.56
8192                 5651.83         689921.22
16384               10838.58         661534.50
32768               20346.78         620934.46
65536               36542.23         557590.21
131072              59311.54         452511.11
262144              84648.14         322907.03
524288             109250.61         208379.00
1048576            127218.90         121325.40
2097152            137724.30          65672.06
4194304            141802.38          33808.32
  [run 4/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.11       10109678.16
2                      20.49       10245265.04
4                      41.32       10329928.22
8                      83.74       10467905.14
16                    170.45       10653302.32
32                    339.81       10618908.13
64                    673.97       10530710.80
128                    98.47         769324.63
256                   194.92         761424.63
512                   383.82         749638.69
1024                  760.63         742802.39
2048                 1486.77         725962.80
4096                 2907.62         709867.28
8192                 5639.71         688441.72
16384               10854.17         662486.04
32768               20438.50         623733.57
65536               36695.29         559925.76
131072              59509.27         454019.70
262144              84969.53         324133.03
524288             109304.74         208482.25
1048576            127176.03         121284.51
2097152            137638.88          65631.33
4194304            141902.41          33832.17
  [run 5/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.19       10187316.29
2                      20.46       10231533.41
4                      41.39       10346282.18
8                      84.06       10507308.02
16                    170.52       10657584.41
32                    341.15       10661061.84
64                    675.84       10559935.42
128                    97.73         763492.04
256                   193.28         755004.30
512                   383.25         748544.59
1024                  759.33         741529.09
2048                 1498.37         731626.88
4096                 2946.14         719273.38
8192                 5721.65         698443.21
16384               10942.87         667899.58
32768               20403.54         622666.74
65536               36801.56         561547.19
131072              59602.10         454727.97
262144              85167.18         324887.02
524288             109103.57         208098.55
1048576            127014.90         121130.85
2097152            137692.36          65656.83
4194304            141745.78          33794.83
  [run 6/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.72       10721607.09
2                      20.82       10412476.42
4                      42.28       10569096.29
8                      85.78       10722416.53
16                    179.99       11249429.29
32                    334.13       10441452.16
64                    708.60       11071870.60
128                    98.01         765693.88
256                   192.98         753823.02
512                   382.90         747850.98
1024                  756.69         738954.97
2048                 1487.41         726275.31
4096                 2901.16         708290.61
8192                 5644.35         689008.10
16384               10820.51         660431.56
32768               20231.87         617427.67
65536               36336.94         554457.63
131072              59001.38         450144.83
262144              84405.28         321980.59
524288             108870.39         207653.79
1048576            126866.28         120989.12
2097152            137486.80          65558.81
4194304            141752.17          33796.35
