
# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=DEFAULT] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:11:51
  [run 1/4] warm-up done in 10s
  [run 2/4] recording — 01:12:01
srun: Step created for StepId=18638911.1
  [run 2/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
8388608            133074.53
16777216           142784.88
33554432           148047.60
67108864           150343.13
  [run 3/4] recording — 01:14:13
  [run 3/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.70
2                       5.95
4                      11.92
8                      24.06
16                     48.34
32                     95.34
64                    191.94
128                   302.19
256                   431.05
512                   785.04
1024                 1405.83
2048                 1845.72
4096                 2813.50
8192                 1104.19
16384                2200.36
32768                4077.42
65536                7898.64
131072              14859.58
262144              23437.01
524288              41488.68
1048576             61716.59
2097152             85304.74
4194304            118255.64
8388608            133081.57
16777216           142938.29
33554432           148261.45
67108864           150425.02
  [run 4/4] recording — 01:14:21
  [run 4/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.80
2                       6.19
4                      12.03
8                      24.50
16                     49.73
32                     96.46
64                    187.44
128                   315.86
256                   428.53
512                   769.76
1024                 1296.21
2048                 1776.04
4096                 2892.64
8192                 1089.86
16384                2173.07
32768                4049.81
65536                7860.42
131072              14676.97
262144              23282.23
524288              41530.77
1048576             61747.70
2097152             85226.66
4194304            118287.90
8388608            133216.33
16777216           142986.92
33554432           148147.33
67108864           150289.86

# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=16384] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:14:29
  [run 1/4] warm-up done in 9s
  [run 2/4] recording — 01:14:38
  [run 2/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.71
2                       6.05
4                      12.06
8                      24.43
16                     49.13
32                     94.77
64                    188.71
128                   346.55
256                   432.70
512                   782.73
1024                 1335.29
2048                 1776.92
4096                 2837.84
8192                 1093.73
16384                2165.30
32768                4082.80
65536                7850.24
131072              14670.01
262144              23376.24
524288              41323.49
1048576             61606.46
2097152             85074.40
4194304            118243.95
8388608            133220.80
16777216           142961.83
33554432           148021.73
67108864           150201.21
  [run 3/4] recording — 01:14:46
  [run 3/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.75
2                       5.81
4                      12.02
8                      24.02
16                     48.72
32                     94.05
64                    181.29
128                   375.84
256                   422.49
512                   790.60
1024                 1405.51
2048                 1814.26
4096                 2847.79
8192                 1099.03
16384                2188.80
32768                4064.06
65536                7890.73
131072              14670.97
262144              23392.54
524288              41665.19
1048576             61946.62
2097152             85312.33
4194304            118161.85
8388608            133152.37
16777216           142759.15
33554432           148178.34
67108864           150468.42
  [run 4/4] recording — 01:14:54
srun: Step created for StepId=18638911.23
  [run 4/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.59
2                       5.90
4                      11.64
8                      23.24
16                     46.31
32                     91.39
64                    184.02
128                   305.13
256                   424.34
512                   765.82
1024                 1336.92
2048                 1709.33
4096                 2937.68
8192                 1084.03
16384                2146.59
32768                4041.35
65536                7816.49
131072              14519.02
262144              23239.89
524288              41503.06
1048576             61621.58
2097152             85025.26
4194304            118186.63
8388608            133122.94
16777216           143019.64
33554432           148186.72
67108864           150356.79
ALL BENCHMARKS COMPLETE  CSV=results/osu_protocol_native_18638911.csv
