################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0 host_buf] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 21:39:29
  [run 1/6] warm-up done in 48s
  [run 2/6] recording — 21:40:17
  [run 2/6] done in 44s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
64                    892.92
128                  1667.55
256                  3075.85
512                  5536.75
1024                 9965.41
2048                15362.76
4096                16219.62
8192                26606.82
16384               34409.21
32768               38584.34
65536               44542.22
131072              48469.02
262144              43973.63
524288              38119.23
1048576             38582.65
2097152             38728.92
4194304             38680.58
8388608             36758.57
16777216            27313.52
33554432            16227.83
67108864            22354.24
  [run 4/6] recording — 21:54:37
  [run 4/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.49
2                      33.04
4                      67.02
8                     134.24
16                    268.83
32                    507.12
64                   1038.44
128                  1611.35
256                  3046.31
512                  5552.53
1024                 9942.89
2048                15154.51
4096                13904.31
8192                27165.42
16384               31964.63
32768               38438.29
65536               44009.32
131072              48331.04
262144              43841.42
524288              37843.77
1048576             38212.58
2097152             38560.53
4194304             38411.49
8388608             38323.09
16777216            27017.63
33554432            16153.32
67108864            22306.94
  [run 5/6] recording — 21:55:20
  [run 5/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.68
2                      33.46
4                      67.52
8                     132.76
16                    271.25
32                    505.72
64                   1037.87
128                  1562.22
256                  3026.93
512                  5667.75
1024                 9985.40
2048                15464.10
4096                16185.27
8192                27244.13
16384               34238.96
32768               38528.46
65536               43474.47
131072              46795.46
262144              43446.50
524288              37024.35
1048576             37699.96
2097152             38098.77
4194304             38068.57
8388608             38098.64
16777216            26957.01
33554432            16144.48
67108864            22295.50
  [run 6/6] recording — 21:56:03
  [run 6/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.89
2                      33.91
4                      60.53
8                     120.49
16                    241.66
32                    456.21
64                    923.81
128                  1673.42
256                  3069.87
512                  5566.36
1024                10037.74
2048                15451.76
4096                16297.29
8192                27361.73
16384               34544.16
32768               37985.66
65536               44415.45
131072              48310.78
262144              44682.93
524288              37475.07
1048576             38071.28
2097152             38255.58
4194304             38013.20
8388608             35460.16
16777216            26257.85
33554432            15953.56
67108864            22182.82
ALL BENCHMARKS COMPLETE  CSV=results/osu_bw_host_eessi_18635287.csv
