stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.62
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,25.76
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,51.86
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,96.03
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,205.40
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,404.45
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,733.44
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,42.77
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,85.38
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,170.95
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,339.47
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,643.64
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,651.42
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,657.37
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,664.34
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,665.65
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,666.91
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,657.63
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,655.39
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,653.28
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,664.10
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,663.26
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,141975.72
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,147518.14
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,149969.63
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.96
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,5.90
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.57
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,25.78
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,51.53
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,103.37
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,204.77
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,407.04
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,801.14
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,42.91
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,85.87
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,171.73
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,342.60
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,654.79
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,659.42
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,662.75
