################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0 host_buf] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 21:39:23
  [run 1/6] warm-up done in 38s
  [run 2/6] recording — 21:40:01
  [run 2/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.82
2                       6.08
4                      11.96
8                      23.58
16                     46.88
32                     93.87
64                    171.23
128                   340.32
256                   480.58
512                   889.63
1024                 2837.64
2048                 5553.35
4096                 9688.51
8192                15041.49
16384               22731.02
32768               29193.33
65536               37601.78
131072              44512.09
262144              42788.00
524288              37521.46
1048576             39203.33
2097152             39862.55
4194304             40287.50
8388608             40201.51
16777216            27156.72
33554432            24835.19
67108864            22079.09
  [run 4/6] recording — 21:51:55
srun: Step created for StepId=18635289.21
  [run 4/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.76
2                       6.03
4                      11.95
8                      23.98
16                     47.98
32                     95.76
64                    175.66
128                   286.34
256                   479.55
512                   867.82
1024                 2804.25
2048                 5560.65
4096                 9796.29
8192                15201.98
16384               23216.89
32768               29475.61
65536               37292.99
131072              44018.33
262144              41524.77
524288              36457.62
1048576             37678.11
2097152             38007.40
4194304             38125.24
8388608             38141.92
16777216            28106.26
33554432            24986.04
67108864            22459.27
  [run 5/6] recording — 21:52:31
  [run 5/6] done in 37s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.78
2                       5.85
4                      11.54
8                      23.03
16                     47.11
32                     95.49
64                    179.25
128                   306.89
256                   464.53
512                   854.32
1024                 2862.35
2048                 5596.94
4096                 9842.43
8192                15118.96
16384               23059.99
32768               29209.51
65536               37184.42
131072              40303.93
262144              43184.61
524288              36828.13
1048576             38080.03
2097152             38486.28
4194304             38567.90
8388608             38589.45
16777216            23991.49
33554432            25000.57
67108864            22454.30
  [run 6/6] recording — 21:53:08
  [run 6/6] done in 35s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.68
2                       5.83
4                      11.72
8                      22.93
16                     45.45
32                     93.11
64                    175.16
128                   308.71
256                   457.05
512                   894.91
1024                 2797.90
2048                 5614.48
4096                 9696.74
8192                15168.93
16384               22996.17
32768               28714.13
65536               37027.95
131072              42394.61
262144              43171.82
524288              37395.98
1048576             39438.77
2097152             40159.10
4194304             40522.50
8388608             40427.54
16777216            26065.86
33554432            24967.85
67108864            22677.73
ALL BENCHMARKS COMPLETE  CSV=results/osu_bw_host_native_18635289.csv
