################# NATIVE STACK #################
--- NATIVE / HSA_ENABLE_SDMA=0 ---

################################################################
# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:12
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:20:22
  [run 2/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
  [run 2/6] done in 12s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.66
2                       5.79
4                      11.52
8                      22.92
16                     46.89
32                     93.93
64                    186.84
128                   339.04
256                   440.75
512                   792.08
1024                  586.52
2048                 1177.67
4096                 2351.50
8192                 1076.14
16384                2124.15
32768                3929.97
65536                7424.01
131072              12946.99
262144              20260.72
524288              32706.08
1048576             44471.88
2097152             59009.20
4194304             69266.01
8388608             73895.95
16777216            76280.10
33554432            77196.71
67108864            77394.71
  [run 3/6] recording — 20:23:02
  [run 3/6] done in 13s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.88
2                       6.16
4                      12.45
8                      25.09
16                     50.53
32                    100.26
64                    188.93
128                   316.60
256                   438.98
512                   782.62
1024                  585.99
2048                 1169.98
4096                 2334.10
8192                 1050.36
16384                2074.21
32768                3811.82
65536                7108.28
131072              12414.11
262144              20024.48
524288              32438.83
1048576             44199.14
2097152             58592.55
4194304             69371.39
8388608             73909.87
16777216            76265.36
33554432            77131.72
67108864            77401.28
  [run 4/6] recording — 20:23:15
  [run 4/6] done in 13s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       5.94
4                      11.80
8                      23.31
16                     46.13
32                     94.19
64                    181.84
128                   323.33
256                   435.00
512                   772.72
1024                  583.52
2048                 1159.37
4096                 2323.95
8192                 1088.37
16384                2147.92
32768                3953.63
65536                7434.99
131072              12936.47
262144              20310.42
524288              32810.11
1048576             44468.67
2097152             59020.70
4194304             69435.69
8388608             74033.16
16777216            76388.70
33554432            77252.55
67108864            77400.36
  [run 5/6] recording — 20:23:28
  [run 5/6] done in 12s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.67
2                       5.86
4                      13.18
8                      24.33
16                     59.49
32                     94.30
64                    184.57
128                   381.50
256                   435.66
512                   763.00
1024                  586.13
2048                 1173.71
4096                 2345.88
8192                 1093.29
16384                2156.33
32768                3963.23
65536                7464.99
131072              13199.70
262144              20399.69
524288              32734.23
1048576             44497.64
2097152             58824.90
4194304             69368.40
8388608             73973.20
16777216            76355.00
33554432            77215.32
67108864            77410.26
  [run 6/6] recording — 20:23:40
  [run 6/6] done in 14s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.60
2                       5.85
4                      11.74
8                      23.71
16                     47.63
32                     94.74
64                    177.25
128                   355.91
256                   434.33
512                   769.03
1024                  579.57
2048                 1163.79
4096                 2323.26
8192                 1076.79
16384                2123.96
32768                3907.67
65536                7391.08
131072              12977.00
262144              20396.45
524288              32939.77
1048576             44582.86
2097152             59082.21
4194304             69291.87
8388608             73978.72
16777216            76341.39
33554432            77313.81
67108864            77445.59

################################################################
# [native sdma=0] inter_pkg_2link_24  GCD(2,4) tier=inter_pkg_2link links=2
################################################################
  [run 1/6] warm-up — 20:23:54
  [run 1/6] warm-up done in 13s
  [run 2/6] recording — 20:24:07
  [run 2/6] done in 12s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       5.77
4                      11.90
8                      23.86
16                     48.40
32                     94.30
64                    176.60
128                   344.03
256                   431.67
512                   783.84
1024                  590.05
2048                 1179.14
4096                 2364.50
8192                  972.71
16384                1916.38
32768                3500.96
65536                6574.87
131072              11615.28
262144              19251.00
524288              31420.14
1048576             43328.50
2097152             57768.77
4194304             68989.85
8388608             73719.12
16777216            76114.54
33554432            76959.45
67108864            77186.44
  [run 3/6] recording — 20:24:19
  [run 3/6] done in 13s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.88
2                       6.26
4                      12.66
8                      25.56
16                     51.00
32                    104.75
64                    193.70
128                   355.53
256                   441.99
512                   826.19
1024                  586.32
2048                 1182.40
4096                 2360.19
8192                  934.81
16384                1839.75
32768                3384.16
65536                6339.06
131072              11366.64
262144              18814.93
524288              30844.09
1048576             42871.30
2097152             57665.57
4194304             69061.41
8388608             73691.32
16777216            76006.01
33554432            76875.31
67108864            77116.04
  [run 4/6] recording — 20:24:32
  [run 4/6] done in 13s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.71
2                       5.99
4                      12.01
8                      24.28
16                     48.42
32                     96.12
64                    173.74
128                   347.84
256                   441.04
