################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:11:46
  [run 1/6] warm-up done in 14s
  [run 2/6] recording — 23:12:00
  [run 2/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
# Size       Avg Latency(us)
1                       1.22
2                       1.23
4                       1.24
8                       1.29
16                      1.23
32                      1.20
64                      1.31
128                     1.25
256                     1.27
512                    20.48
1024                   20.17
2048                   20.21
4096                   19.94
8192                   20.85
16384                  22.35
32768                  59.47
65536                  60.36
131072                 60.77
262144                 62.66
524288                 68.25
1048576                78.62

# [eessi sdma=0] osu_bcast  N=8  devices=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 23:14:52
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:14:55
  [run 2/6] done in 4s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.76
2                       1.97
4                       1.97
8                       2.00
16                      1.98
32                      2.01
64                      2.05
128                     2.06
256                    37.54
512                    37.58
1024                   37.71
2048                   37.68
4096                   37.87
8192                   38.28
16384                  38.92
32768                  94.59
65536                  92.43
131072                 94.80
262144                 99.45
524288                106.78
1048576               121.00
  [run 3/6] recording — 23:14:59
  [run 3/6] done in 4s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.88
2                       1.98
4                       1.93
8                       1.93
16                      1.94
32                      2.00
64                      2.01
128                     1.97
256                    39.10
512                    39.20
1024                   39.31
2048                   39.37
4096                   39.55
8192                   39.85
16384                  40.35
32768                  94.35
65536                  92.43
131072                 94.82
262144                 99.32
524288                106.96
1048576               121.52
  [run 4/6] recording — 23:15:03
  [run 4/6] done in 4s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.80
2                       2.02
4                       2.04
8                       2.01
16                      2.06
32                      2.02
64                      2.04
128                     2.05
256                    37.87
512                    37.98
1024                   38.11
2048                   38.20
4096                   38.49
8192                   39.10
16384                  39.49
32768                  94.31
65536                  93.32
131072                 95.15
262144                 99.30
524288                106.93
1048576               121.17
  [run 5/6] recording — 23:15:07
  [run 5/6] done in 3s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.77
2                       1.92
4                       1.93
8                       1.94
16                      1.95
32                      1.99
64                      2.02
128                     2.00
256                    39.88
512                    40.06
1024                   40.10
2048                   40.09
4096                   40.22
8192                   40.59
16384                  41.21
32768                  94.56
65536                  92.72
131072                 95.03
262144                 99.26
524288                106.94
1048576               121.16
  [run 6/6] recording — 23:15:10
  [run 6/6] done in 4s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.87
2                       2.07
4                       2.04
8                       2.07
16                      2.06
32                      2.06
64                      2.12
128                     2.11
256                    37.75
512                    37.84
1024                   37.87
2048                   37.87
4096                   37.97
8192                   38.43
16384                  38.98
32768                  94.53
65536                  92.34
131072                 94.54
262144                 98.93
524288                106.62
1048576               121.12

# [eessi sdma=0] osu_allgather  N=2  devices=0,1
  [run 1/6] warm-up — 23:15:14
  [run 1/6] warm-up done in 4s
  [run 2/6] recording — 23:15:18
  [run 2/6] done in 3s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.48
2                      13.69
4                      13.95
8                      14.93
16                     13.26
32                     13.27
64                     13.29
128                    13.66
256                    13.30
512                    36.75
1024                   31.71
2048                   30.00
4096                   30.49
8192                   29.54
16384                  29.69
32768                  30.40
65536                  30.62
131072                 30.35
262144                 32.89
524288                 33.55
1048576                42.02
  [run 3/6] recording — 23:15:21
  [run 3/6] done in 4s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.33
2                      13.47
4                      13.78
8                      14.88
16                     13.15
32                     13.13
64                     13.15
128                    13.65
256                    13.29
512                    36.29
1024                   31.37
2048                   29.45
4096                   30.92
8192                   29.21
16384                  28.90
32768                  28.84
65536                  30.02
131072                 30.50
262144                 32.66
524288                 34.17
1048576                41.25
  [run 4/6] recording — 23:15:25
  [run 4/6] done in 3s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.33
2                      13.44
