=== CFG baseline: NCH=unset AFF=unset GDR=unset ===

# [eessi_xccl cfg=baseline] osu_xccl_allreduce
  [run 1/6] warm-up — 21:42:01
  [run 1/6] warm-up done in 18s
  [run 2/6] recording — 21:42:19
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      84.35
2                      84.17
4                      84.23
8                      84.68
16                     84.59
32                     84.91
64                     85.63
128                    86.22
256                    87.30
512                    88.36
1024                   89.71
2048                   95.50
4096                  107.67
8192                  102.95
16384                 125.71
32768                 173.56
65536                 273.30
131072                475.84
262144                878.36
524288               1681.13
1048576               721.42
  [run 6/6] recording — 21:44:53
  [run 6/6] done in 9s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      84.33
2                      84.17
4                      84.31
8                      84.86
16                     84.67
32                     84.88
64                     85.74
128                    86.30
256                    87.48
512                    88.82
1024                   90.23
2048                   95.72
4096                  107.72
8192                  102.94
16384                 125.73
32768                 173.74
65536                 273.43
131072                475.93
262144                878.34
524288               1681.84
1048576               723.90
=== CFG affinity: NCH=unset AFF=1 GDR=unset ===

# [eessi_xccl cfg=affinity] osu_xccl_allreduce
  [run 1/6] warm-up — 21:45:02
  [run 1/6] warm-up done in 6s
  [run 2/6] recording — 21:45:08
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.70
8                      36.46
16                     36.31
32                     37.76
64                     40.73
128                    46.89
256                    46.91
512                    47.31
1024                   47.46
2048                   48.42
4096                   49.45
8192                   50.53
16384                  51.68
32768                  51.54
65536                  51.37
131072                 52.13
262144                 85.80
524288                109.34
1048576               121.47
  [run 3/6] recording — 21:45:14
  [run 3/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.48
8                      36.25
16                     36.07
32                     37.79
64                     41.00
128                    46.98
256                    46.98
512                    47.34
1024                   47.85
2048                   48.47
4096                   49.34
8192                   50.68
16384                  51.86
32768                  51.75
65536                  51.37
131072                 52.14
262144                 85.70
524288                109.40
1048576               121.42
  [run 4/6] recording — 21:45:21
  [run 4/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.30
8                      36.32
16                     36.19
32                     37.85
64                     41.15
128                    47.28
256                    47.24
512                    47.52
1024                   48.01
2048                   48.65
4096                   49.44
8192                   50.71
16384                  51.81
32768                  52.12
65536                  52.25
131072                 52.74
262144                 86.16
524288                109.22
1048576               121.37
  [run 5/6] recording — 21:45:27
  [run 5/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.59
8                      36.19
16                     36.05
32                     37.84
64                     41.00
128                    46.82
256                    46.79
512                    47.16
1024                   47.72
2048                   48.32
4096                   49.26
8192                   50.39
16384                  51.55
32768                  51.07
65536                  51.19
131072                 52.26
262144                 85.40
524288                108.97
1048576               121.15
  [run 6/6] recording — 21:45:33
  [run 6/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.09
8                      36.84
16                     36.73
32                     38.97
64                     41.35
128                    47.27
256                    47.73
512                    47.77
1024                   48.02
2048                   48.89
4096                   49.64
8192                   50.85
16384                  51.82
32768                  51.63
65536                  52.01
131072                 52.88
262144                 84.30
