stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,latency_us
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,2048,2.63
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,4096,2.61
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,8192,16.41
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,16384,16.48
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,32768,16.97
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,65536,17.18
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,131072,17.70
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,262144,19.22
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,524288,20.63
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,1048576,24.70
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,2097152,31.95
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,4194304,43.15
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,1,0.49
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,2,0.52
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,4,0.53
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,8,0.56
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,16,0.55
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,32,0.61
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,64,0.68
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,128,0.67
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,256,1.14
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,512,1.22
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,1024,2.71
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,2048,2.72
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,4096,2.70
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,8192,16.80
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,16384,16.89
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,32768,17.31
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,65536,17.11
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,131072,17.65
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,262144,19.61
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,524288,20.62
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,1048576,24.70
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,2097152,31.80
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,6,4194304,43.15
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,1,0.50
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,2,0.59
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,4,0.55
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,8,0.52
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,16,0.52
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,32,0.55
