################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] cfg_routed_split  ROCR=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 21:25:33
  [run 1/6] warm-up done in 15s
  [run 2/6] recording — 21:25:48
  [run 2/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
32768               13565.70         413992.42
65536               24615.36         375600.59
131072              41715.51         318264.07
262144              63098.79         240702.80
524288              91144.39         173844.12
1048576            113815.75         108543.16
2097152            138937.77          66250.69
4194304            149021.00          35529.38
  [run 3/6] recording — 21:26:58
  [run 3/6] done in 5s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.09       10085667.10
2                      19.88        9938764.01
4                      40.51       10128629.64
8                      82.34       10291904.13
16                    167.70       10481298.35
32                    329.17       10286501.16
64                    665.98       10405939.35
128                    66.40         518739.23
256                   132.73         518495.88
512                   265.25         518060.36
1024                  529.88         517464.29
2048                 1057.30         516257.73
4096                 2068.92         505106.23
8192                 3801.39         464036.77
16384                7429.32         453449.50
32768               13574.46         414259.49
65536               24693.02         376785.57
131072              41781.04         318764.01
262144              63258.60         241312.42
524288              91125.05         173807.24
1048576            113811.73         108539.33
2097152            138859.15          66213.20
4194304            148974.94          35518.39
  [run 4/6] recording — 21:27:03
  [run 4/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.18       10177234.96
2                      20.78       10389747.43
4                      42.57       10642330.10
8                      86.42       10803054.10
16                    171.45       10715554.15
32                    347.69       10865256.39
64                    690.16       10783686.51
128                    66.36         518444.44
256                   132.45         517399.51
512                   264.82         517222.27
1024                  527.01         514653.81
2048                 1051.13         513247.94
4096                 2072.48         505975.59
8192                 3782.45         461724.36
16384                7378.17         450327.67
32768               13474.77         411217.24
65536               24444.33         372990.92
131072              41743.53         318477.83
262144              63236.35         241227.53
524288              91259.69         174064.04
1048576            113735.93         108467.03
2097152            138706.81          66140.56
4194304            148937.82          35509.54
  [run 5/6] recording — 21:27:09
