################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:11:37
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:11:40
  [run 2/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
524288                118.32
1048576               157.20
  [run 5/6] recording — 23:12:12
  [run 5/6] done in 1s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.31
2                       3.36
4                       3.21
8                       3.34
16                      3.30
32                      3.33
64                      3.60
128                     3.56
256                     8.39
512                     8.66
1024                   13.71
2048                   13.61
4096                   13.97
8192                   81.05
16384                  82.47
32768                  83.77
65536                  86.96
131072                 91.34
262144                102.71
524288                118.76
1048576               158.40
  [run 6/6] recording — 23:12:13
  [run 6/6] done in 1s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.20
2                       3.21
4                       3.21
8                       3.22
16                      3.22
32                      3.33
64                      3.47
128                     3.56
256                     8.54
512                     8.84
1024                   13.67
2048                   13.60
4096                   13.95
8192                   80.83
16384                  81.81
32768                  84.12
65536                  87.06
131072                 91.10
262144                103.24
524288                118.56
1048576               157.78

# [native sdma=0] osu_alltoall  N=8  devices=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 23:12:14
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:12:17
  [run 2/6] done in 1s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.94
2                       5.98
4                       5.96
8                       6.05
16                      6.39
32                      6.35
64                      7.01
128                     7.85
256                    11.45
512                    12.26
1024                   41.55
2048                   41.29
4096                   43.95
8192                  179.22
16384                 180.34
32768                 185.91
65536                 199.55
131072                204.06
262144                236.66
524288                290.90
1048576               428.18
  [run 3/6] recording — 23:12:18
  [run 3/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.95
2                       5.96
4                       6.02
8                       6.17
16                      6.25
32                      6.40
64                      7.13
128                     7.78
256                    11.11
512                    12.24
1024                   40.13
2048                   41.69
4096                   47.24
8192                  179.02
16384                 179.02
32768                 184.36
65536                 199.24
131072                203.19
262144                235.29
524288                289.80
1048576               426.62
  [run 4/6] recording — 23:12:21
  [run 4/6] done in 2s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.94
2                       5.94
4                       5.94
8                       6.09
16                      6.23
32                      6.43
64                      7.08
128                     7.86
256                    11.51
512                    12.23
1024                   42.02
2048                   42.94
4096                   44.82
8192                  179.44
16384                 180.04
32768                 186.67
65536                 200.24
131072                203.77
262144                235.96
524288                290.31
1048576               432.13
  [run 5/6] recording — 23:12:23
  [run 5/6] done in 2s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.98
2                       5.87
4                       5.92
8                       6.10
16                      6.16
32                      6.27
64                      7.08
128                     7.73
256                    11.00
512                    12.07
1024                   41.20
2048                   42.01
4096                   44.45
8192                  180.79
16384                 182.28
32768                 188.15
65536                 201.93
131072                207.60
262144                239.55
524288                291.69
1048576               428.91
  [run 6/6] recording — 23:12:25
  [run 6/6] done in 2s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.85
2                       5.84
4                       5.88
8                       6.08
16                      6.10
32                      6.18
64                      7.08
128                     7.54
256                    11.02
512                    12.08
1024                   41.10
2048                   41.20
4096                   43.43
8192                  186.56
16384                 187.75
32768                 193.36
65536                 206.56
131072                211.81
262144                242.58
524288                296.13
1048576               429.77

# [native sdma=0] osu_bcast  N=2  devices=0,1
  [run 1/6] warm-up — 23:12:27
  [run 1/6] warm-up done in 1s
  [run 2/6] recording — 23:12:28
  [run 2/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.25
2                       0.25
4                       0.25
8                       0.25
16                      0.25
32                      0.25
64                      0.25
128                     0.26
256                     0.31
512                     0.84
1024                    2.48
2048                    2.50
4096                    2.54
8192                   14.43
16384                  14.48
32768                  14.92
65536                  15.04
131072                 15.66
262144                 17.28
524288                 18.82
1048576                23.09
  [run 3/6] recording — 23:12:29
  [run 3/6] done in 0s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.25
2                       0.25
4                       0.25
8                       0.25
16                      0.25
32                      0.25
64                      0.25
128                     0.25
256                     0.30
512                     0.80
1024                    2.52
2048                    2.52
4096                    2.56
8192                   14.55
16384                  14.42
32768                  14.94
65536                  15.10
131072                 16.04
262144                 17.59
524288                 18.66
1048576                23.02
  [run 4/6] recording — 23:12:29
  [run 4/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.25
2                       0.25
4                       0.25
8                       0.25
16                      0.25
32                      0.25
64                      0.25
128                     0.25
256                     0.31
512                     0.80
1024                    2.52
2048                    2.53
4096                    2.57
8192                   14.46
16384                  14.48
32768                  14.96
65536                  15.17
131072                 15.74
262144                 17.32
524288                 18.83
1048576                23.13
  [run 5/6] recording — 23:12:30
  [run 5/6] done in 2s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.25
2                       0.25
4                       0.25
8                       0.25
16                      0.25
32                      0.25
64                      0.25
128                     0.25
256                     0.31
512                     0.81
1024                    2.51
2048                    2.53
4096                    2.57
8192                   14.45
16384                  14.50
32768                  14.95
65536                  15.24
131072                 15.71
262144                 17.29
524288                 18.87
1048576                23.13
  [run 6/6] recording — 23:12:32
  [run 6/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.25
2                       0.25
4                       0.25
8                       0.25
16                      0.25
32                      0.25
64                      0.25
128                     0.25
256                     0.31
512                     0.83
1024                    2.54
2048                    2.55
4096                    2.55
8192                   14.38
16384                  14.40
32768                  14.90
65536                  15.08
131072                 15.49
262144                 17.28
524288                 18.75
1048576                23.00

# [native sdma=0] osu_bcast  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:12:33
  [run 1/6] warm-up done in 0s
  [run 2/6] recording — 23:12:33
  [run 2/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.35
2                       0.34
4                       0.34
8                       0.34
16                      0.35
32                      0.36
64                      0.34
128                     0.35
256                     0.41
512                     1.67
1024                    5.02
2048                    5.23
4096                    5.75
8192                   24.14
16384                  24.40
32768                  25.62
65536                  26.95
131072                 29.35
262144                 35.50
524288                 46.43
1048576                70.86
  [run 3/6] recording — 23:12:34
  [run 3/6] done in 2s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.39
2                       0.35
4                       0.34
8                       0.34
16                      0.35
32                      0.35
64                      0.35
128                     0.35
256                     0.39
512                     1.70
1024                    5.07
