stack,sdma_enabled,mpich_gpu_ipc_threshold,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,92.89
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,188.34
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,345.89
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,428.45
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,774.43
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,1350.08
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,1128.06
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,2258.47
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,1107.39
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,2206.31
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,4095.94
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,7932.03
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,14842.28
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,23286.25
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,41441.86
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,61753.80
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,85235.80
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,118395.63
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,133256.66
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,142854.49
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,148117.00
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,150306.37
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.67
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,6.01
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,11.95
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,23.63
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,48.70
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,91.71
