################# EESSI STACK ##################
--- EESSI / HSA_ENABLE_SDMA=0 ---

################################################################
# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:13
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:20:32
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
8                      26.01
16                     52.38
32                    104.27
64                    208.38
128                   371.85
256                    35.78
512                    71.40
1024                  142.81
2048                  285.63
4096                  558.93
8192                 1022.46
16384                2021.48
32768                3732.41
65536                7015.76
131072              12181.10
262144              19743.97
524288              32097.78
1048576             43948.84
2097152             58407.62
4194304             69264.66
8388608             73942.37
16777216            76391.43
33554432            77342.67
67108864            77530.81
  [run 3/6] recording — 20:25:21
  [run 3/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.91
2                       5.69
4                      12.08
8                      25.27
16                     50.51
32                    101.30
64                    200.13
128                   403.32
256                    36.03
512                    71.77
1024                  143.08
2048                  286.58
4096                  570.49
8192                 1036.85
16384                2049.06
32768                3787.94
65536                7066.43
131072              12201.39
262144              19745.04
524288              32041.18
1048576             43911.78
2097152             58660.69
4194304             69452.75
8388608             74022.88
16777216            76415.78
33554432            77376.83
67108864            77542.86
  [run 4/6] recording — 20:25:36
  [run 4/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       6.04
4                      12.46
8                      25.84
16                     51.53
32                    105.34
64                    201.35
128                   397.61
256                    35.81
512                    71.71
1024                  142.99
2048                  283.85
4096                  561.52
8192                 1023.30
16384                2023.44
32768                3733.96
65536                7020.54
131072              12197.86
262144              19823.33
524288              32222.12
1048576             43975.44
2097152             58574.64
4194304             69181.94
8388608             73851.89
16777216            76313.85
33554432            77293.91
67108864            77517.24
  [run 5/6] recording — 20:25:51
  [run 5/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.90
2                       5.49
4                      11.98
8                      22.66
16                     50.22
32                     98.43
64                    187.36
128                   383.88
256                    35.42
512                    70.57
1024                  142.53
2048                  284.05
4096                  562.33
8192                 1027.18
16384                2028.63
32768                3708.67
65536                6983.83
131072              12065.02
262144              19639.80
524288              31977.43
1048576             43841.80
2097152             58589.45
4194304             69396.83
8388608             74004.50
16777216            76339.40
33554432            77311.98
67108864            77522.88
  [run 6/6] recording — 20:26:06
  [run 6/6] done in 16s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       6.01
4                      12.73
8                      26.15
16                     47.69
32                    104.95
64                    209.69
128                   412.55
256                    35.67
512                    71.24
1024                  142.41
2048                  283.56
4096                  567.20
8192                 1030.79
16384                2041.07
32768                3758.80
65536                7046.96
131072              12227.68
262144              19739.00
524288              32088.45
1048576             43934.70
2097152             58333.37
4194304             69231.45
8388608             73910.53
16777216            76336.47
33554432            77321.23
67108864            77524.58

################################################################
# [eessi sdma=0] inter_pkg_1link_02  GCD(0,2) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 20:26:22
  [run 1/6] warm-up done in 26s
  [run 2/6] recording — 20:26:48
  [run 2/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.00
2                       5.90
4                      12.72
8                      26.24
16                     52.37
32                    105.12
64                    208.24
128                   404.68
256                    29.76
512                    58.35
1024                  116.50
2048                  230.92
4096                  453.29
8192                  898.35
16384                1736.80
32768                3042.11
65536                5629.08
131072               9806.00
262144              15033.09
524288              22050.42
1048576             27855.02
2097152             34444.04
4194304             37122.55
8388608             38359.25
16777216            38920.32
33554432            39048.79
67108864            38959.45
  [run 3/6] recording — 20:27:14
  [run 3/6] done in 27s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.85
2                       5.69
4                      12.05
8                      24.45
16                     47.67
32                     97.24
64                    193.58
128                   385.62
256                    29.95
512                    59.05
1024                  117.88
2048                  235.48
4096                  457.56
8192                  882.67
16384                1676.84
32768                3153.00
65536                5627.56
131072               9835.47
262144              15088.20
524288              22117.28
1048576             27883.20
