######## EESSI STACK (HSA_ENABLE_SDMA=0, UCX_RNDV_THRESH=1024) ########

################################################################
# [eessi sdma=0 rndv=1024] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 01:00:40
  [run 1/6] warm-up done in 22s
  [run 2/6] recording — 01:01:02
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.03
2                       6.06
4                      12.91
8                      26.53
16                     52.75
32                    106.02
64                    209.29
128                   414.90
256                   813.67
512                    42.76
1024                  117.73
2048                  234.87
4096                  457.00
8192                  905.69
16384                1779.88
32768                3202.84
65536                6030.36
131072              11157.07
262144              18552.46
524288              30512.73
1048576             42577.90
2097152             57378.43
4194304             68921.19
8388608             73574.60
16777216            75949.87
33554432            76807.06
67108864            77062.63
  [run 4/6] recording — 01:04:33
  [run 4/6] done in 16s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       6.07
4                      12.90
8                      26.51
16                     53.39
32                    106.04
64                    211.82
128                   415.29
256                   821.71
512                    42.80
1024                  118.08
2048                  234.81
4096                  455.40
8192                  899.15
16384                1768.29
32768                3346.56
65536                6105.30
131072              11200.23
262144              18608.23
524288              30523.84
1048576             42629.16
2097152             57411.36
4194304             68885.28
8388608             73612.51
16777216            75933.00
33554432            76799.99
67108864            77060.26
  [run 5/6] recording — 01:04:49
  [run 5/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.93
2                       5.93
4                      12.61
8                      25.78
16                     47.59
32                    103.37
64                    205.47
128                   402.05
256                   793.38
512                    42.61
1024                  117.28
2048                  234.63
4096                  473.61
8192                  903.26
16384                1769.12
32768                3252.58
65536                6045.99
131072              11187.85
262144              18506.41
524288              30426.35
1048576             42617.29
2097152             57435.11
4194304             68814.14
8388608             73554.63
16777216            75964.12
33554432            76808.18
67108864            77089.73
  [run 6/6] recording — 01:05:04
  [run 6/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.01
2                       6.03
4                      12.86
8                      26.49
16                     53.04
32                    106.17
64                    211.26
128                   415.27
256                   819.30
512                    42.85
1024                  118.70
2048                  236.78
4096                  475.55
8192                  911.26
16384                1799.81
32768                3198.34
65536                6096.51
131072              11233.85
262144              18607.85
524288              30634.93
1048576             42672.03
2097152             57789.81
4194304             68936.39
8388608             73670.54
16777216            76135.18
33554432            76968.89
67108864            77158.92

################################################################
# [eessi sdma=0 rndv=1024] inter_pkg_2link_24  GCD(2,4) tier=inter_pkg_2link links=2
################################################################
  [run 1/6] warm-up — 01:05:19
  [run 1/6] warm-up done in 15s
  [run 2/6] recording — 01:05:34
  [run 2/6] done in 16s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.93
4                      12.63
8                      26.01
16                     51.60
32                    103.03
64                    199.76
128                   399.90
256                   795.64
512                    46.02
1024                  142.22
2048                  284.38
4096                  564.46
8192                 1023.87
16384                2019.62
32768                3692.06
65536                6981.45
131072              12374.17
262144              19618.35
524288              31948.13
1048576             43732.52
2097152             58037.34
4194304             69114.80
8388608             73821.17
16777216            76233.93
33554432            77045.89
67108864            77166.81
  [run 3/6] recording — 01:05:50
  [run 3/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.71
2                       5.43
4                      11.56
8                      23.60
16                     47.35
32                     86.33
64                    185.42
128                   374.25
256                   674.83
512                    45.95
1024                  142.93
2048                  286.05
4096                  562.66
8192                 1022.75
16384                2023.17
32768                3712.11
65536                7017.35
131072              12113.37
262144              19741.88
524288              31981.26
1048576             43925.01
2097152             58436.90
4194304             69257.33
8388608             73879.24
16777216            76283.85
33554432            77052.67
67108864            77152.69
  [run 4/6] recording — 01:06:05
  [run 4/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.98
2                       5.99
4                      12.82
8                      26.20
16                     52.84
32                    104.95
64                    209.32
128                   402.58
256                   806.94
512                    45.94
1024                  142.36
2048                  285.07
4096                  567.13
8192                 1032.96
16384                2046.90
32768                3776.74
65536                7039.47
131072              12317.93
262144              19821.39
524288              32142.67
1048576             43948.87
2097152             58339.79
4194304             69218.27
8388608             73916.65
16777216            76284.84
33554432            77104.30
67108864            77227.82
  [run 5/6] recording — 01:06:20
  [run 5/6] done in 15s

