################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:25
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:50:44
  [run 2/6] done in 11s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
2097152            167844.21
4194304            228016.26
8388608            252557.80
16777216           270022.11
33554432           279304.72
67108864           282375.56
  [run 6/6] recording — 20:53:27
  [run 6/6] done in 10s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.68
2                       7.37
4                      14.77
8                      29.42
16                     59.40
32                    118.70
64                    233.10
128                   424.62
256                    71.56
512                   143.53
1024                  285.99
2048                  573.41
4096                 1120.27
8192                 2053.77
16384                4107.31
32768                7650.47
65536               14850.53
131072              27660.76
262144              44678.09
524288              79543.32
1048576            121559.62
2097152            168470.69
4194304            228911.51
8388608            253635.33
16777216           270926.46
33554432           279487.27
67108864           282315.02

# [eessi sdma=0] inter_pkg_2link_06  GCD(0,6) tier=inter_pkg_2link links=2
  [run 1/6] warm-up — 20:53:37
  [run 1/6] warm-up done in 16s
  [run 2/6] recording — 20:53:53
  [run 2/6] done in 16s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.59
2                       7.18
4                      14.37
8                      28.83
16                     54.77
32                    110.16
64                    226.36
128                   443.13
256                    60.17
512                   118.38
1024                  227.70
2048                  454.84
4096                  898.60
8192                 1738.89
16384                3400.01
32768                6162.58
65536               11769.78
131072              21692.64
262144              36120.84
524288              60351.10
1048576             83483.81
2097152            112445.34
4194304            132716.59
8388608            140249.23
16777216           144002.09
33554432           144964.77
67108864           145068.44
  [run 3/6] recording — 20:54:09
  [run 3/6] done in 16s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.62
2                       6.85
4                      14.51
8                      27.55
16                     58.10
32                    109.98
64                    227.82
128                   444.91
256                    57.13
512                   115.03
1024                  230.34
2048                  452.01
4096                  898.81
8192                 1758.07
16384                3453.04
32768                6405.99
65536               12100.07
131072              21652.27
262144              36107.24
524288              60463.38
1048576             83393.96
2097152            112036.74
4194304            132820.85
8388608            140244.28
16777216           144055.96
33554432           145083.24
67108864           145044.87
  [run 4/6] recording — 20:54:25
  [run 4/6] done in 16s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
