################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:27
  [run 1/6] warm-up done in 9s
  [run 2/6] recording — 20:50:36
  [run 2/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
  [run 5/6] done in 7s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.10
4                      18.21
8                      36.47
16                     72.72
32                    142.11
64                    274.47
128                   534.10
256                   510.43
512                   920.63
1024                  897.86
2048                 1781.24
4096                 3488.36
8192                 1758.61
16384                3503.14
32768                6591.15
65536               12523.91
131072              23466.97
262144              41028.02
524288              73409.76
1048576            113691.76
2097152            161840.24
4194304            225669.40
8388608            250926.03
16777216           268131.30
33554432           276338.31
67108864           280366.51
  [run 6/6] recording — 20:52:45
  [run 6/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.63
2                       8.79
4                      18.27
8                      36.40
16                     72.88
32                    141.80
64                    272.31
128                   526.40
256                   524.90
512                   939.20
1024                  892.85
2048                 1774.40
4096                 3470.91
8192                 1809.43
16384                3607.68
32768                6738.99
65536               13068.46
131072              24282.30
262144              41813.93
524288              73968.83
1048576            113198.29
2097152            161060.33
4194304            224640.93
8388608            250125.41
16777216           267600.90
33554432           276161.30
67108864           281214.13

# [native sdma=0] inter_pkg_2link_06  GCD(0,6) tier=inter_pkg_2link links=2
  [run 1/6] warm-up — 20:52:54
  [run 1/6] warm-up done in 13s
  [run 2/6] recording — 20:53:07
  [run 2/6] done in 14s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.55
2                       9.08
4                      18.19
8                      36.38
16                     72.72
32                    141.64
64                    276.72
128                   529.75
256                   524.92
512                   939.30
1024                  895.34
2048                 1773.21
4096                 3490.75
8192                 1883.39
16384                3722.45
32768                6917.02
65536               12870.01
131072              22635.74
262144              37475.30
524288              61709.91
1048576             84825.98
2097152            112590.92
4194304            133056.45
8388608            140660.85
16777216           144348.35
33554432           145281.48
67108864           145321.57
  [run 3/6] recording — 20:53:21
  [run 3/6] done in 13s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.57
2                       9.11
4                      18.18
8                      36.52
16                     71.95
32                    141.84
64                    274.55
128                   527.26
256                   519.83
512                   936.57
1024                  894.97
2048                 1768.22
4096                 3449.23
8192                 1916.69
16384                3756.20
32768                6544.48
65536               12375.81
131072              22819.14
262144              37670.60
524288              61714.84
1048576             85428.96
2097152            113980.98
4194304            133333.85
8388608            140845.78
16777216           144577.28
33554432           145368.56
67108864           145200.39
  [run 4/6] recording — 20:53:34
  [run 4/6] done in 14s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.64
2                       9.14
4                      18.22
8                      36.58
16                     72.74
32                    142.06
64                    272.57
128                   527.68
256                   507.82
512                   914.68
1024                  882.26
2048                 1755.36
4096                 3443.68
8192                 1885.97
16384                3717.13
32768                6695.15
65536               12385.55
131072              22663.73
262144              37344.65
524288              61634.31
1048576             85124.81
2097152            113592.91
4194304            133357.23
8388608            140734.92
16777216           144439.87
33554432           145295.38
67108864           145071.59
  [run 5/6] recording — 20:53:48
  [run 5/6] done in 13s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.61
2                       9.09
4                      18.26
8                      36.65
16                     72.72
32                    141.79
64                    273.06
128                   525.91
256                   521.28
512                   932.92
1024                  888.38
2048                 1757.94
4096                 3418.62
8192                 1888.46
16384                3733.03
32768                6868.16
65536               12917.43
131072              22739.88
262144              37520.34
524288              61667.22
1048576             84992.53
2097152            112892.70
4194304            133263.02
8388608            140770.90
16777216           144354.48
33554432           145157.94
67108864           145040.50
  [run 6/6] recording — 20:54:01
  [run 6/6] done in 14s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.14
4                      18.24
8                      36.61
16                     72.96
32                    142.62
64                    272.56
128                   531.90
256                   521.50
512                   930.34
1024                  889.00
2048                 1761.48
4096                 3434.63
8192                 1891.74
16384                3709.10
32768                6822.25
65536               12998.31
131072              22618.46
262144              37439.86
524288              61799.45
1048576             84947.92
2097152            113118.12
4194304            133267.63
8388608            140697.13
16777216           144351.49
33554432           145234.96
67108864           145078.05

# [native sdma=0] inter_pkg_2link_24  GCD(2,4) tier=inter_pkg_2link links=2
  [run 1/6] warm-up — 20:54:15
  [run 1/6] warm-up done in 13s
  [run 2/6] recording — 20:54:28
