
# [eessi sdma=0 UCX_RNDV_THRESH=DEFAULT] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:08:59
  [run 1/4] warm-up done in 21s
  [run 2/4] recording — 01:09:20
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
  [run 1/4] warm-up done in 10s
  [run 2/4] recording — 01:12:38
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.04
2                       6.08
4                      12.98
8                      26.68
16                     53.44
32                    107.15
64                    212.34
128                   419.30
256                   823.08
512                    43.03
1024                   86.09
2048                  171.88
4096                  340.24
8192                  650.59
16384                1826.84
32768                3400.39
65536                6671.91
131072              12236.36
262144              21105.91
524288              37659.10
1048576             57707.33
2097152             82523.20
4194304            116677.85
8388608            131654.35
16777216           141628.36
33554432           147361.73
67108864           149872.37
  [run 3/4] recording — 01:12:48
  [run 3/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.07
2                       6.16
4                      13.16
8                      26.92
16                     54.09
32                    107.87
64                    215.04
128                   421.70
256                   832.89
512                    43.06
1024                   86.20
2048                  172.40
4096                  339.66
8192                  648.57
16384                1792.13
32768                3358.41
65536                6574.05
131072              12182.82
262144              21131.59
524288              37684.79
1048576             57938.67
2097152             82644.95
4194304            116756.62
8388608            131017.79
16777216           141709.59
33554432           147229.68
67108864           149771.19
  [run 4/4] recording — 01:12:58
  [run 4/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.04
2                       6.11
4                      13.01
8                      26.69
16                     53.57
32                    107.25
64                    212.53
128                   416.63
256                   754.80
512                    42.86
1024                   85.79
2048                  171.96
4096                  339.64
8192                  650.44
16384                1828.19
32768                3398.19
65536                6451.90
131072              12195.62
262144              20988.40
524288              37625.05
1048576             57717.22
2097152             82813.48
4194304            116486.15
8388608            131564.36
16777216           141215.75
33554432           146936.83
67108864           149700.15
ALL BENCHMARKS COMPLETE  CSV=results/osu_protocol_eessi_18638878.csv
