stack,sdma_enabled,config_label,nccl_nchannels,nccl_ignore_aff,nccl_net_gdr,benchmark,num_gcds,run,size_bytes,latency_us
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,16,32.62
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,32,32.70
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,64,32.80
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,128,32.76
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,256,32.94
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,512,33.01
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,1024,33.35
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,2048,33.74
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,4096,35.43
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,8192,36.12
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,16384,39.20
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,32768,46.06
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,65536,46.14
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,131072,51.80
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,262144,67.93
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,524288,100.07
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,1048576,166.26
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,4,37.39
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,8,37.03
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,16,36.82
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,32,37.71
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,64,40.04
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,128,46.32
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,256,46.37
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,512,46.84
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,1024,46.95
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,2048,47.97
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,4096,48.63
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,8192,49.79
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,16384,50.93
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,32768,50.39
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,65536,51.13
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,131072,51.92
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,262144,83.17
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,524288,107.00
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,2,1048576,118.95
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,4,37.61
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,8,36.82
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,16,36.72
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,32,38.58
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,64,42.06
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,128,47.83
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,256,47.82
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,512,48.28
