STACK=native  NODE_A=nid007968  NODE_B=nid007969
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

################################################################
# [native sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:13:51
  [run 1/6] done in 5s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1048576             46000.83
  [run 2/6] recording - 18:14:41
  [run 2/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.35
8                      12.67
16                     25.32
32                     50.69
64                    101.33
128                   199.49
256                   400.19
512                   797.78
1024                 1601.00
2048                 3190.44
4096                 6393.67
8192                13191.92
16384               24676.57
32768               31100.12
65536               37389.02
131072              41504.84
262144              43980.94
524288              45306.35
1048576             46001.95
  [run 3/6] recording - 18:14:42
srun: Step created for StepId=18750219.26
  [run 3/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.14
4                       6.29
8                      12.58
16                     25.16
32                     50.33
64                    100.63
128                   200.72
256                   388.01
512                   792.28
1024                 1587.90
2048                 3175.74
4096                 6350.90
8192                13083.08
16384               24672.08
32768               31038.07
65536               37352.01
131072              41439.24
262144              43950.54
524288              45290.66
1048576             45992.86
  [run 4/6] recording - 18:14:44
  [run 4/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.15
4                       6.31
8                      12.60
16                     25.12
32                     50.40
64                    100.64
128                   201.22
256                   397.78
512                   795.72
1024                 1589.65
2048                 3182.46
4096                 6366.75
8192                13105.70
16384               24709.27
32768               31136.90
65536               37373.60
131072              41459.94
262144              43968.78
524288              45300.94
1048576             45995.07
