stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,bandwidth_MBps
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,1,0.14
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,2,0.28
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,4,0.57
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,8,1.13
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,16,2.27
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,32,4.52
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,64,9.06
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,128,17.71
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,256,509.32
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,512,1017.13
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,1024,2038.95
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,2048,4005.09
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,4096,8145.40
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,8192,13313.87
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,16384,20896.88
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,32768,28850.67
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,65536,38078.25
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,131072,42230.28
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,262144,44393.52
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,524288,45512.01
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,6,1048576,46098.34
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,1,0.14
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,2,0.29
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,4,0.58
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,8,1.16
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,16,2.30
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,32,4.61
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,64,9.16
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,128,18.38
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,256,516.69
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,512,1033.01
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,1024,2052.97
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,2048,4135.67
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,4096,8257.22
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,8192,14966.17
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,16384,24493.62
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,32768,32926.93
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,65536,38668.85
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,131072,42247.67
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,262144,44389.87
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,524288,45519.74
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,2,1048576,46108.71
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,3,1,0.14
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,3,2,0.29
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,3,4,0.57
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,3,8,1.15
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,3,16,2.28
eessi,0,inter_GCD4_GCD4,nid005014,nid005015,4,4,inter_node,nic_via_xgmi,3,32,4.61
