STACK=native  NODE_A=nid007956  NODE_B=nid007957
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] osu_allreduce  N=16  nodes=2
  [run 1/6] warm-up - 18:38:09
  [run 1/6] done in 6s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
# Size       Avg Latency(us)
1                       9.07
2                       8.51
4                       8.40
8                       7.91
16                      8.62
32                      9.80
64                     11.31
128                    12.69
256                    17.54
512                    20.53
1024                   25.95
2048                   40.90
4096                   58.61
8192                   85.63
16384                  90.37
32768                  99.52
65536                 119.93
131072                171.58
262144                256.54
524288                441.00
1048576               813.17
  [run 2/6] recording - 18:38:51
  [run 2/6] done in 2s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.04
2                       8.43
4                       8.22
8                       7.83
16                      8.45
32                      9.66
64                     11.19
128                    12.65
256                    17.58
512                    20.71
1024                   25.96
2048                   41.31
4096                   59.08
8192                   86.43
16384                  91.30
32768                 100.78
65536                 121.45
131072                171.00
262144                257.15
524288                441.20
1048576               814.33
  [run 3/6] recording - 18:38:53
srun: Step created for StepId=18750651.20
  [run 3/6] done in 3s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.92
2                       8.33
4                       8.18
8                       7.85
16                      8.43
32                      9.58
64                     11.18
128                    12.57
256                    17.50
512                    20.43
1024                   25.77
2048                   41.33
4096                   58.92
8192                   86.16
16384                  90.50
32768                  99.53
65536                 120.51
131072                171.65
262144                256.98
524288                441.07
1048576               813.28
  [run 4/6] recording - 18:38:56
  [run 4/6] done in 2s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.93
2                       8.31
4                       8.12
8                       7.79
16                      8.38
32                      9.56
64                     11.23
128                    12.87
256                    18.15
512                    21.32
1024                   26.34
2048                   41.23
4096                   59.20
8192                   86.26
16384                  91.36
32768                 100.90
65536                 124.03
131072                172.08
262144                257.74
524288                442.00
1048576               813.59
  [run 5/6] recording - 18:38:58
  [run 5/6] done in 3s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.91
2                       8.40
4                       8.23
8                       7.76
16                      8.50
32                      9.66
64                     11.08
128                    12.70
256                    17.33
512                    20.42
1024                   25.34
2048                   41.21
4096                   58.15
8192                   86.25
16384                  91.14
32768                  99.85
65536                 120.65
131072                172.21
262144                257.37
524288                441.70
1048576               813.63
  [run 6/6] recording - 18:39:01
  [run 6/6] done in 2s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.01
2                       8.43
4                       8.31
8                       7.89
16                      8.52
32                      9.63
64                     11.23
128                    12.71
256                    17.59
512                    20.63
1024                   26.05
2048                   40.91
4096                   58.88
8192                   86.84
16384                  91.05
32768                 100.38
65536                 120.69
131072                172.54
262144                257.34
524288                441.34
1048576               813.83
ALL BENCHMARKS COMPLETE  CSV=results/osu_collectives_native_18750651.csv
