stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,num_links,run,size_bytes,bandwidth_MBps
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,512,891.98
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,1024,593.84
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,2048,1190.35
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,4096,2374.20
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,8192,1066.78
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,16384,2137.79
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,32768,3975.28
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,65536,7789.13
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,131072,15127.54
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,262144,26736.17
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,524288,53190.78
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,1048576,85816.29
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,2097152,114283.81
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,4194304,124553.66
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,8388608,130230.48
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,16777216,137094.22
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,33554432,140867.25
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,67108864,142945.74
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,1,1.45
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,2,2.89
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,4,5.83
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,8,11.63
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,16,23.23
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,32,46.52
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,64,92.68
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,128,184.74
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,256,374.00
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,512,747.41
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,1024,1492.43
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,2048,2974.99
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,4096,5923.21
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,8192,11738.07
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,16384,18949.51
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,32768,19982.23
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,65536,21888.57
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,131072,22631.15
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,262144,23056.84
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,524288,23286.58
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,1048576,23449.15
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,2097152,23419.20
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,4194304,23400.02
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,8388608,23452.34
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,16777216,23536.46
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,33554432,23572.86
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,2,67108864,23392.26
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,3,1,1.46
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,3,2,2.93
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,3,4,4.98
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,3,8,11.73
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,3,16,23.45
native,0,inter_GCD0_GCD0,nid005014,nid007968,0,0,inter_node,nic_via_xgmi,NA,3,32,46.92
