benchmark,num_gcds,run,size_bytes,latency_us
osu_allreduce,6,4,262144,172.96
osu_allreduce,6,4,524288,197.00
osu_allreduce,6,4,1048576,251.94
osu_allreduce,6,5,4,0.79
osu_allreduce,6,5,8,0.72
osu_allreduce,6,5,16,0.64
osu_allreduce,6,5,32,0.63
osu_allreduce,6,5,64,0.64
osu_allreduce,6,5,128,0.66
osu_allreduce,6,5,256,4.63
osu_allreduce,6,5,512,5.08
osu_allreduce,6,5,1024,4.86
osu_allreduce,6,5,2048,5.42
osu_allreduce,6,5,4096,7.61
osu_allreduce,6,5,8192,31.31
osu_allreduce,6,5,16384,37.90
osu_allreduce,6,5,32768,53.40
osu_allreduce,6,5,65536,80.62
osu_allreduce,6,5,131072,160.76
osu_allreduce,6,5,262144,173.60
osu_allreduce,6,5,524288,198.66
osu_allreduce,6,5,1048576,254.84
osu_allreduce,6,6,4,0.64
osu_allreduce,6,6,8,0.63
osu_allreduce,6,6,16,0.68
osu_allreduce,6,6,32,0.69
osu_allreduce,6,6,64,0.63
osu_allreduce,6,6,128,0.67
osu_allreduce,6,6,256,4.78
osu_allreduce,6,6,512,5.13
osu_allreduce,6,6,1024,4.79
osu_allreduce,6,6,2048,5.50
osu_allreduce,6,6,4096,7.76
osu_allreduce,6,6,8192,30.27
osu_allreduce,6,6,16384,37.07
osu_allreduce,6,6,32768,51.00
osu_allreduce,6,6,65536,79.00
osu_allreduce,6,6,131072,159.16
osu_allreduce,6,6,262144,171.94
osu_allreduce,6,6,524288,196.50
osu_allreduce,6,6,1048576,254.07
osu_allreduce,8,2,4,1.30
osu_allreduce,8,2,8,1.29
osu_allreduce,8,2,16,1.34
osu_allreduce,8,2,32,1.29
osu_allreduce,8,2,64,1.37
osu_allreduce,8,2,128,1.41
osu_allreduce,8,2,256,5.84
osu_allreduce,8,2,512,6.17
osu_allreduce,8,2,1024,6.48
osu_allreduce,8,2,2048,8.49
osu_allreduce,8,2,4096,14.63
osu_allreduce,8,2,8192,39.62
osu_allreduce,8,2,16384,45.66
osu_allreduce,8,2,32768,61.48
osu_allreduce,8,2,65536,92.85
osu_allreduce,8,2,131072,195.96
osu_allreduce,8,2,262144,203.93
osu_allreduce,8,2,524288,223.95
osu_allreduce,8,2,1048576,275.02
osu_allreduce,8,3,4,1.40
osu_allreduce,8,3,8,1.33
osu_allreduce,8,3,16,1.32
osu_allreduce,8,3,32,1.37
osu_allreduce,8,3,64,1.37
osu_allreduce,8,3,128,1.40
osu_allreduce,8,3,256,5.99
osu_allreduce,8,3,512,6.32
osu_allreduce,8,3,1024,6.57
osu_allreduce,8,3,2048,8.54
osu_allreduce,8,3,4096,14.25
osu_allreduce,8,3,8192,38.45
osu_allreduce,8,3,16384,46.36
osu_allreduce,8,3,32768,62.91
osu_allreduce,8,3,65536,91.76
osu_allreduce,8,3,131072,200.84
osu_allreduce,8,3,262144,208.28
osu_allreduce,8,3,524288,221.54
osu_allreduce,8,3,1048576,283.06
osu_allreduce,8,4,4,1.31
osu_allreduce,8,4,8,1.39
osu_allreduce,8,4,16,1.42
osu_allreduce,8,4,32,1.35
osu_allreduce,8,4,64,1.45
osu_allreduce,8,4,128,1.44
osu_allreduce,8,4,256,5.80
osu_allreduce,8,4,512,6.26
osu_allreduce,8,4,1024,6.56
osu_allreduce,8,4,2048,8.66
osu_allreduce,8,4,4096,14.46
osu_allreduce,8,4,8192,40.32
osu_allreduce,8,4,16384,47.32
osu_allreduce,8,4,32768,67.04
osu_allreduce,8,4,65536,92.98
osu_allreduce,8,4,131072,198.38
osu_allreduce,8,4,262144,201.56
osu_allreduce,8,4,524288,218.71
osu_allreduce,8,4,1048576,278.70
osu_allreduce,8,5,4,1.33
osu_allreduce,8,5,8,1.37
osu_allreduce,8,5,16,1.30
osu_allreduce,8,5,32,1.30
osu_allreduce,8,5,64,1.43
osu_allreduce,8,5,128,1.41
osu_allreduce,8,5,256,5.74
osu_allreduce,8,5,512,6.27
osu_allreduce,8,5,1024,6.44
osu_allreduce,8,5,2048,8.48
osu_allreduce,8,5,4096,14.43
osu_allreduce,8,5,8192,38.27
osu_allreduce,8,5,16384,46.12
osu_allreduce,8,5,32768,61.88
osu_allreduce,8,5,65536,91.85
osu_allreduce,8,5,131072,203.70
osu_allreduce,8,5,262144,203.03
osu_allreduce,8,5,524288,218.34
osu_allreduce,8,5,1048576,274.87
osu_allreduce,8,6,4,1.30
osu_allreduce,8,6,8,1.33
osu_allreduce,8,6,16,1.33
osu_allreduce,8,6,32,1.32
osu_allreduce,8,6,64,1.35
osu_allreduce,8,6,128,1.38
osu_allreduce,8,6,256,5.75
osu_allreduce,8,6,512,6.04
osu_allreduce,8,6,1024,6.64
osu_allreduce,8,6,2048,8.32
osu_allreduce,8,6,4096,13.89
osu_allreduce,8,6,8192,38.95
osu_allreduce,8,6,16384,45.01
osu_allreduce,8,6,32768,58.87
osu_allreduce,8,6,65536,90.37
osu_allreduce,8,6,131072,198.78
osu_allreduce,8,6,262144,206.82
osu_allreduce,8,6,524288,221.11
osu_allreduce,8,6,1048576,282.26
