
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.70
2                       6.11
4                      12.08
8                      24.45
16                     48.89
32                     94.40
64                    193.42
128                   312.54
256                   428.57
512                   769.65
1024                  566.34
2048                 1127.83
4096                 2267.12
8192                 1019.01
16384                2036.66
32768                3962.51
65536                7589.68
131072              14227.15
262144              23446.80
524288              36855.70
1048576             47870.61
2097152             55525.62
4194304             60660.20
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.81
2                       6.32
4                      12.45
8                      24.94
16                     50.69
32                     97.50
64                    190.44
128                   318.13
256                   427.35
512                   771.64
1024                  576.88
2048                 1157.80
4096                 2316.33
8192                 1021.48
16384                2042.22
32768                4008.16
65536                7713.94
131072              14141.50
262144              23475.20
524288              36837.64
1048576             47921.57
2097152             55460.75
4194304             60555.34
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.65
2                       6.03
4                      11.85
8                      24.23
16                     47.68
32                     92.30
64                    182.48
128                   429.38
256                   403.85
512                   766.48
1024                  571.90
2048                 1144.16
4096                 2290.68
8192                 1015.97
16384                2042.85
32768                3978.27
65536                7610.84
131072              14160.62
262144              23421.00
524288              36857.29
1048576             47861.56
2097152             55487.34
4194304             60610.61

################################################################
# inter_pkg_2link_24   GCD(2,4)   tier=inter_pkg_2link   num_links=2
# Hypothesis: inter-package, 2 links, ~70 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
