
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# Size      Bandwidth (MB/s)
1                       4.63
2                       9.09
4                      18.14
8                      36.23
16                     72.72
32                    141.01
64                    273.29
128                   523.95
256                   529.43
512                   942.62
1024                  877.82
2048                 1746.24
4096                 3422.48
8192                 1501.39
16384                3018.02
32768                5985.30
65536               11657.33
131072              22409.37
262144              41990.28
524288              73355.09
1048576            117084.89
2097152            164597.87
4194304            203395.31
  [run 5] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.14
4                      18.39
8                      36.68
16                     73.12
32                    141.87
64                    273.83
128                   526.95
256                   517.82
512                   923.39
1024                  892.97
2048                 1768.64
4096                 3478.74
8192                 1502.28
16384                3030.13
32768                5982.46
65536               11553.63
131072              22424.23
262144              42016.01
524288              73384.94
1048576            116392.50
2097152            163372.44
4194304            203733.50
  [run 6] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.66
2                       9.16
4                      18.27
8                      36.51
16                     72.76
32                    141.15
64                    274.31
128                   530.18
256                   522.82
512                   931.75
1024                  861.76
2048                 1710.00
4096                 3369.70
8192                 1505.75
16384                3054.07
32768                6051.33
65536               11783.69
131072              22549.25
262144              42085.21
524288              73720.27
1048576            117099.31
2097152            165256.62
4194304            203689.61

################################################################
# inter_pkg_2link_06   GCD(0,6)   tier=inter_pkg_2link   num_links=2
# Hypothesis: inter-package, 2 links, ~70 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.60
2                       9.11
4                      18.22
8                      36.18
16                     73.26
32                    141.95
64                    275.07
128                   526.68
256                   528.47
512                   953.54
1024                  887.65
2048                 1731.54
4096                 3457.37
8192                 1962.59
16384                3931.44
32768                7594.06
65536               14695.46
131072              27098.90
262144              46439.63
524288              71465.87
1048576             91659.25
2097152            105842.50
4194304            114942.69
  [run 3] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.61
2                       9.10
4                      18.31
8                      36.55
16                     73.43
32                    140.76
64                    275.17
128                   533.11
256                   517.68
512                   930.96
1024                  894.03
2048                 1775.93
4096                 3478.95
8192                 1964.62
16384                3911.36
32768                7626.96
65536               14723.18
131072              27078.30
262144              46436.24
524288              71493.52
1048576             91880.20
2097152            105944.77
4194304            114991.56
  [run 4] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.62
2                       9.16
4                      18.34
8                      36.71
16                     73.01
32                    141.39
64                    275.52
128                   531.81
256                   520.43
512                   939.19
1024                  881.11
2048                 1747.32
4096                 3459.22
8192                 1959.98
16384                3922.53
32768                7663.37
65536               14705.45
131072              27178.95
262144              46528.69
524288              71926.37
1048576             92042.92
2097152            105847.65
4194304            115155.96
  [run 5] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.68
2                       9.39
4                      18.68
8                      37.48
16                     75.02
32                    145.37
64                    283.14
128                   550.56
256                   537.96
512                   963.23
1024                  889.41
2048                 1784.28
4096                 3500.64
8192                 1954.22
16384                3896.77
32768                7547.56
65536               14557.57
131072              26827.48
262144              45747.21
524288              70400.74
1048576             90618.56
2097152            105363.32
4194304            114672.23
  [run 6] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.59
2                       9.19
4                      18.31
8                      36.45
16                     73.20
32                    141.55
64                    275.67
128                   531.87
256                   528.84
512                   941.95
1024                  889.87
2048                 1757.97
4096                 3467.20
8192                 1968.60
16384                3908.50
32768                7625.49
65536               14729.45
131072              27071.01
262144              46458.50
524288              71531.66
1048576             91698.04
2097152            105844.20
4194304            115028.51

################################################################
# inter_pkg_2link_24   GCD(2,4)   tier=inter_pkg_2link   num_links=2
# Hypothesis: inter-package, 2 links, ~70 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.64
2                       9.16
4                      18.26
8                      36.76
16                     73.03
32                    140.81
64                    276.24
128                   532.42
256                   519.20
512                   933.49
1024                  894.52
2048                 1765.01
4096                 3498.35
8192                 1941.24
16384                3842.92
32768                7477.94
65536               14421.82
131072              26782.51
262144              46322.36
524288              72239.23
1048576             92045.55
2097152            106019.21
4194304            115296.06
  [run 3] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.79
2                       9.44
4                      18.70
8                      37.73
16                     75.42
32                    145.64
64                    284.90
128                   548.12
256                   543.25
512                   980.83
1024                  908.32
2048                 1806.97
4096                 3563.55
8192                 1950.39
16384                3870.91
32768                7568.74
65536               14560.94
131072              26854.65
262144              46378.53
524288              72185.90
1048576             92024.17
2097152            106364.21
4194304            115249.73
  [run 4] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
